Node,Location,Employer,College
U27475,['austin texas area'],"['adaptive home inc', 'ellusionist inc.', 'modern japan development llp', 'paypal', 'protect america inc.', 'samsung engineering &amp; construction', 'tokyo steakhouse', 'university of texas at austin', 'yelp.com']",['university of texas at austin']
U27704,['urbana-champaign illinois area'],['university of illinois at urbana-champaign'],['university of illinois at urbana-champaign']
U16153,['greater detroit area'],"['boston consulting group', 'center for entrepreneurship university of michigan', 'daolan group', 'mckinsey &amp; company', 'peking university', 'university of michigan health system']",['peking university']
U27494,['beijing city china'],"['alibaba cloud computing', 'eleme inc.', 'google', 'microsoft']",['shanghai jiao tong university']
U11563,['urbana-champaign illinois area'],"['ebay', 'university of illinois at urbana-champaign']",['tsinghua university']
U7281,['noida area india'],"['idubba.com', 'mozilla corporation', 'x.org']",['manipal institute of technology']
U4485,['urbana-champaign illinois area'],"['center for study of reading', 'university of illinois at urbana-champaign']","['beijing normal university', 'university of illinois at urbana-champaign']"
U14080,['urbana-champaign illinois area'],"['hewlett-packard laboratories', 'independent contractor', 'microsoft', 'oracle', 'university of illinois at urbana-champaign']",['indian institute of technology roorkee']
U16091,['urbana-champaign illinois area'],"['eptco group', 'microsoft', 'peking university', 'sr research inc', 'state farm', 'university of illinois at urbana-champaign', 'wichita state university']",['peking university']
U18570,['miami fort lauderdale area'],"['amazon', 'orlando utilities commission', 'ultimate software']",['university of florida']
